SEASON,PERIOD,SHOT_ZONE_BASIC,FGA,FGM,FG_PCT
2008-09,1,Above the Break 3,63,29,0.4603174603174603
2008-09,1,Backcourt,2,0,0.0
2008-09,1,In The Paint (Non-RA),51,22,0.43137254901960786
2008-09,1,Left Corner 3,7,1,0.14285714285714285
2008-09,1,Mid-Range,140,56,0.4
2008-09,1,Restricted Area,184,133,0.7228260869565217
2008-09,1,Right Corner 3,5,2,0.4
2008-09,2,Above the Break 3,66,23,0.3484848484848485
2008-09,2,Backcourt,3,0,0.0
2008-09,2,In The Paint (Non-RA),39,12,0.3076923076923077
2008-09,2,Left Corner 3,5,3,0.6
2008-09,2,Mid-Range,93,31,0.3333333333333333
2008-09,2,Restricted Area,120,83,0.6916666666666667
2008-09,2,Right Corner 3,1,0,0.0
2008-09,3,Above the Break 3,118,38,0.3220338983050847
2008-09,3,Backcourt,2,0,0.0
2008-09,3,In The Paint (Non-RA),32,13,0.40625
2008-09,3,Left Corner 3,13,4,0.3076923076923077
2008-09,3,Mid-Range,175,64,0.3657142857142857
2008-09,3,Restricted Area,136,104,0.7647058823529411
2008-09,3,Right Corner 3,2,2,1.0
2008-09,4,Above the Break 3,76,23,0.3026315789473684
2008-09,4,In The Paint (Non-RA),27,14,0.5185185185185185
2008-09,4,Left Corner 3,11,5,0.45454545454545453
2008-09,4,Mid-Range,116,42,0.3620689655172414
2008-09,4,Restricted Area,111,79,0.7117117117117117
2008-09,4,Right Corner 3,4,0,0.0
2008-09,5,Above the Break 3,5,2,0.4
2008-09,5,In The Paint (Non-RA),3,2,0.6666666666666666
2008-09,5,Mid-Range,1,0,0.0
2008-09,5,Restricted Area,2,2,1.0
